segment_index	line_id	start	end	persona	tier	scene_title	match_method	match_score	text_preview
01	S07-01-222	00:16:07,479	00:16:24,982	demonlings	minor	Session recap and setup	text_inferred	0.000	Given your paranoia and your cowardice and your general way of being, a thing you may be on the fence about is when you do a summoning of demonlings, they hang 
01	S07-01-223	00:16:25,602	00:16:31,163	demonlings	minor	Session recap and setup	propagated	0.000	So they could be in your room while you were at a party, making sure nobody messed with your stuff.
01	S07-01-225	00:16:33,530	00:16:45,915	demonlings	minor		text_inferred	0.000	But you have a holy relic and maybe having a bunch of demon and having five demonlings around them is that going to draw any attention?
01	S07-01-226	00:16:46,235	00:16:48,276	demonlings	minor		text_inferred	0.000	Will the demonlings be interested?
01	S07-01-227	00:16:48,396	00:16:50,277	demonlings	minor		propagated	0.000	Will they not be interested?
01	S07-01-228	00:16:50,297	00:16:57,441	demonlings	minor		text_inferred	0.000	Will they interfere with the demonlings?
01	S07-01-277	00:19:49,404	00:19:52,284	demonlings	minor	Session recap and setup	text_inferred	0.000	So four demonlings can hang out.
01	S07-01-278	00:19:54,064	00:20:02,806	demonlings	minor		propagated	0.000	They are limited to roughly 30 miles of your person and will hang around for 24 hours and do pretty much your will.
01	S07-01-279	00:20:03,626	00:20:14,388	demonlings	minor		text_inferred	0.000	As with all demonic things, they will attempt to take their orders literally and pervert them, but demonlings are not very smart, you know.
01	S07-01-280	00:20:15,108	00:20:18,550	demonlings	minor		propagated	0.000	It's like trying to outsmart a four year old or something, right?
01	S07-01-281	00:20:19,210	00:20:24,532	demonlings	minor		propagated	0.000	You can go, Ooh, whatever you do, don't eat this delicious thing, or you know, whatever.
01	S07-01-282	00:20:24,913	00:20:25,993	demonlings	minor		propagated	0.000	And they do it anyway.
01	S07-01-283	00:20:26,033	00:20:31,455	demonlings	minor		propagated	0.000	So and, as with all things in hell, it's about power.
01	S07-01-284	00:20:32,056	00:20:38,919	demonlings	minor		propagated	0.000	And the fact that you summon them, and, you know, you could slap them around some it'd be like, Okay, yeah, we know our place.
01	S07-01-285	00:20:40,800	00:20:43,801	demonlings	minor		propagated	0.000	The most we'll do is drink all the beer in the mini bars, right?
01	S07-01-289	00:20:49,108	00:20:52,909	demonlings	minor	Session recap and setup	text_inferred	0.000	So for demonlings, are you going to give any specific instructions?
01	S07-01-290	00:20:52,969	00:20:57,690	demonlings	minor		propagated	0.000	Are they to kill anything that enters the apart at the hotel room?
01	S07-01-291	00:20:58,350	00:20:59,771	demonlings	minor		propagated	0.000	Are they to remain invisible?
01	S07-01-292	00:21:00,031	00:21:03,252	demonlings	minor		propagated	0.000	Are they only to prevent people from going into your luggage?
01	S07-01-293	00:21:03,932	00:21:05,092	demonlings	minor	Session recap and setup	propagated	0.000	What's the general vibe?
02	S07-02-295	00:46:37,805	00:46:41,788	demonlings	minor		text_inferred	0.000	So, demonlings are not very powerful celestial beings.
02	S07-02-296	00:46:41,808	00:46:50,354	demonlings	minor		propagated	0.000	They're still celestial, but they're little essences of evil, wanting to become full-fledged demons, hoping to manifest into a word.
02	S07-02-297	00:46:50,815	00:46:59,381	demonlings	minor	Session recap and setup	propagated	0.000	But in the meantime, they can't come to Earth unless they're given a body, and your sacrifice of mana gives them a 24-hour body.
02	S07-02-298	00:46:59,441	00:47:00,962	demonlings	minor	Session recap and setup	propagated	0.000	So, it's a physical body.
02	S07-02-299	00:47:01,763	00:47:06,807	demonlings	minor	Session recap and setup	text_inferred	0.000	Now, some demonlings randomly have spell capabilities.
02	S07-02-300	00:47:07,568	00:47:14,052	demonlings	minor	Session recap and setup	propagated	0.000	could a spell affect an in an insubstantial form is the second question.
02	S07-02-301	00:47:14,692	00:47:25,979	demonlings	minor		propagated	0.000	Yeah, that was your best inch your best knowledge from your interactions with your demon overlord is any kind of spell that would interact with the mind doesn't
02	S07-02-302	00:47:26,179	00:47:35,045	demonlings	minor		propagated	0.000	So you know, even if a demon has been it possesses a human body, if you have a spell or a song that can attack its mind,
02	S07-02-303	00:47:42,883	00:47:47,947	demonlings	minor	Session recap and setup	propagated	0.000	So you would assume that if his body is insubstantial, but he can perceive his mind is still present.
02	S07-02-304	00:47:48,547	00:47:57,774	demonlings	minor	Session recap and setup	propagated	0.000	So if the demons had any of their spells that could affect the mind, like illusion, or stun or something like that, it will probably affect him.
02	S07-02-305	00:47:58,094	00:47:59,335	demonlings	minor		propagated	0.000	That's your best guess.
02	S07-02-306	00:47:59,936	00:48:00,896	demonlings	minor		propagated	0.000	You don't know for sure.
